編號,機構名稱,機構地址,行政區,行政區碼,106年,107年,108年,109年,110年,111年,center_longitude,center_latitudes,locality_ids,locality_texts
95,臺北市私立好來托嬰中心,臺北市士林區士東路244號,士林區,63000110,,,甲,,,乙,121.53077,25.112365,locality.63638247,士林區
96,臺北市私立春田托嬰中心,臺北市士林區忠誠路2段32巷9號,士林區,63000110,,,乙,,,甲,121.529632,25.11082,locality.63638247,士林區
97,臺北市私立萌語天母托嬰中心,台北市士林區中山北路六段405巷70號,士林區,63000110,通過,甲,優,,,優,121.5269851,25.1156442,locality.63638247,士林區
98,臺北市私立春田天母托嬰中心,台北市士林區忠誠路二段32巷9號,士林區,63000110,通過,,,乙,,,121.529342,25.109421,locality.63638247,士林區
99,臺北市私立怡寶質優托嬰中心,臺北市士林區文林路740巷11號,士林區,63000110,,優,,,優,,121.520831,25.103239,locality.63638247,士林區
100,臺北市私立長藤托嬰中心,臺北市士林區葫蘆里中正路655巷6號,士林區,63000110,,通過,,,甲,,121.507683,25.085308,locality.63638247,士林區
101,臺北市私立維薆托嬰中心,台北市士林區忠誠路二段70巷13弄1號,士林區,63000110,,通過,,,甲,,121.53021115,25.111445699999997,locality.63638247,士林區
102,臺北市私立好來天母托嬰中心,台北市士林區士東路244號,士林區,63000110,,通過,,,甲,,121.53077,25.112365,locality.63638247,士林區
103,臺北市私立孩子國萌寶托嬰中心,台北市士林區承德路四段185號,士林區,63000110,,,甲,,,甲,121.522423,25.087624,locality.63638247,士林區
104,臺北市私立雨聲托嬰中心,臺北市士林區雨聲街105號,士林區,63000110,,,甲,,,優,121.531267,25.104607,locality.63638247,士林區
105,臺北市私立幼天才托嬰中心,台北市士林區華齡街180號,士林區,63000110,,,甲,,,優,121.519491,25.086848,locality.63638247,士林區
106,臺北市私立怡寶士林官邸托嬰中心,台北市士林區中山北路五段520號,士林區,63000110,,,,,甲,,121.527925,25.093809,locality.63638247,士林區
107,臺北市私立微笑音符托嬰中心,台北市士林區中山北路七段14巷9號,士林區,63000110,,,,,,乙,121.5314459,25.1187681,locality.63638247,士林區
108,臺北市私立長藤幼苗托嬰中心,台北市士林區延平北路五段285巷54號,士林區,63000110,,,,,,甲,121.507958,25.085159,locality.63638247,士林區
109,臺北市私立芳馨園二館托嬰中心,台北市北投區大興街23巷35號,北投區,63000120,,通過,,,甲,,121.501089,25.130648,locality.63621863,北投區
110,臺北市私立安格托嬰中心,台北市北投區石牌路二段90巷17號,北投區,63000120,,,乙,,,乙,121.516788,25.1171105,locality.63621863,北投區
111,臺北市私立向暘托嬰中心,台北市北投區石牌路二段352號,北投區,63000120,,,甲,,,甲,121.521332,25.118997,locality.63621863,北投區
112,臺北市私立幼輝托嬰中心,台北市北投區明德路118巷17號,北投區,63000120,甲,,,甲,,,121.5209765,25.1094158,locality.63621863,北投區
113,臺北市私立可瑞荳托嬰中心,臺北市北投區大業路506號,北投區,63000120,優,,,優,,,121.5008169,25.1373153,locality.63621863,北投區
114,臺北市私立芳馨園托嬰中心,台北市文山區久康街24巷36號,北投區,63000120,,,甲,,,甲,121.56558325,24.989173,locality.63662823,文山區
115,臺北市私立貝兒托嬰中心,台北市北投區吉利街158號,北投區,63000120,乙,甲,,,優,,121.506857,25.118587,locality.63621863,北投區
