NUMBER,DISTRICT,K_NAME,K_TEL,K_ADDR,E_NUMBER
86,文山區,臺北市文山區明道國民小學附設幼兒園,(02)29392821#171,[116]臺北市文山區明義里18鄰木柵路2段138巷61號,76
87,文山區,臺北市立文山幼兒園,(02)29395526#11,[116]臺北市文山區明義里19鄰興隆路四段105巷1號,240
88,文山區,臺北市文山區木柵國民小學附設幼兒園,(02)29391234#810,[116]臺北市文山區木柵里1鄰木柵路3段191號,120
89,文山區,臺北市文山區力行國民小學附設幼兒園,(02)29383606#751,[116]臺北市文山區樟腳里21鄰木新路三段155巷7號,150
90,文山區,臺北市文山區博嘉國民小學附設幼兒園,(02)22302585#162,[116]臺北市文山區博嘉里6鄰木柵路4段159巷14號之1,90
91,文山區,臺北市文山區萬興國民小學附設幼兒園,(02)29370234#181,[116]臺北市文山區萬興里19鄰秀明路2段114號,60
92,文山區,國立政治大學附設實驗國民小學附設幼兒園,(02)29393091#80105,[116]臺北市文山區萬興里7鄰指南路二段64號,90
93,文山區,臺北市文山區指南國民小學附設幼兒園,(02)29393546#17,[116]臺北市文山區指南里4鄰指南路3段38巷5之2號,30
94,文山區,臺北市文山區萬芳國民小學附設幼兒園,(02)22301232#816,[116]臺北市文山區萬美里8鄰萬和街1號,196
95,南港區,臺北市南港區南港國民小學附設幼兒園,(02)27834678#1901,[115]臺北市南港區三重里25鄰惠民街67號,106
96,南港區,臺北市南港區東新國民小學附設幼兒園,(02)27837577#53,[115]臺北市南港區東新里7鄰興南街62號,90
97,南港區,臺北市南港區玉成國民小學附設幼兒園,(02)27836049#190,[115]臺北市南港區西新里1鄰向陽路31號,152
98,南港區,臺北市南港區修德國民小學附設幼兒園,(02)27880500#202,[115]臺北市南港區成福里7鄰東新街118巷86號,174
99,南港區,臺北市南港區成德國民小學附設幼兒園,(02)27853856#10,[115]臺北市南港區聯成里12鄰東新街65號,166
100,南港區,臺北市南港區舊莊國民小學附設幼兒園,(02)27821418#180,[115]臺北市南港區舊莊里3鄰舊莊街1段100號,174
101,南港區,臺北市立南港幼兒園,(02)27825081,[115]臺北市南港區重陽里5鄰重陽路199巷28號,150
