編號,機構名稱,機構地址,行政區,行政區碼,106年,107年,108年,109年,110年,111年
194,臺北市桃源社區公共托育家園,台北市北投區中央北路三段40巷45號,北投區,63000120,,,甲,,,優
195,臺北市北投社區公共托育家園,台北市北投區中央北路一段73號,北投區,63000120,,,優,,,甲
196,臺北市忠孝社區公共托育家園,台北市大同區西寧北路32號,大同區,63000060,,,優,,,優
197,臺北市興雅社區公共托育家園,台北市信義區基隆路一段1段35巷47號,信義區,63000020,,,甲,,,優
198,臺北市三玉社區公共托育家園,台北市士林區天母東路116號,士林區,63000110,,,乙,,,甲
199,臺北市蘭雅社區公共托育家園,台北市士林區磺溪街57號,士林區,63000110,,,乙,,,甲
200,臺北市北安社區公共托育家園,台北市中山區明水路325號,中山區,63000040,,,乙,,,甲
201,臺北市大直社區公共托育家園,台北市中山區大直街2號,中山區,63000040,,,甲,,,甲
202,臺北市永樂社區公共托育家園,台北市大同區延平北路二段266號,大同區,63000060,,,甲,,,甲
203,臺北市星雲社區公共托育家園,台北市內湖區星雲街161巷3號,內湖區,63000100,,,甲,,,優
204,臺北市麗山社區公共托育家園,台北市內湖區港華街100號,內湖區,63000100,,,甲,,,優
205,臺北市富安社區公共托育家園,台北市士林區延平北路八段135號,士林區,63000110,,,"列入輔
導",,,甲
206,臺北市濱中社區公共托育家園,台北市中山區樂群二路262號,中山區,63000040,,,甲,,,優
207,臺北市新湖社區公共托育家園,台北市內湖區民權東路六段138號,內湖區,63000100,,,甲,,,甲
208,臺北市百齡社區公共托育家園,台北市士林區福港街205號,士林區,63000110,,,優,,,甲
209,臺北市萬隆社區公共托育家園,台北市文山區汀州路四段207號,文山區,63000080,,,乙,,,甲
210,臺北市興隆社區公共托育家園,台北市文山區福興路2號,文山區,63000080,,,乙,,,甲
211,臺北市萬福社區公共托育家園,台北市文山區羅斯福路五段170巷32號,文山區,63000080,,,乙,,,甲
212,臺北市龍山社區公共托育家園,台北市萬華區和平西路三段235號,萬華區,63000070,,,優,,,甲
213,臺北市吳興社區公共托育家園,台北市信義區松仁路226號,信義區,63000020,,,甲,,,乙
214,臺北市文湖社區公共托育家園,台北市內湖區文湖街15號,內湖區,63000100,,,優,,,優
215,臺北市武功社區公共托育家園,台北市文山區興隆路三段58號,文山區,63000080,,,甲,,,甲
216,臺北市松民社區公共托育家園,台北市松山區民生東路五段163號,松山區,63000010,,,,優,,
217,臺北市族中社區公共托育家園,台北市萬華區中華路二段606巷3號,大安區,63000030,,,,優,,
218,臺北市洲美社區公共托育家園,台北市北投區福美路221號,北投區,63000120,,,,優,,
219,臺北市潭美社區公共托育家園,臺北市內湖區行善路179號,內湖區,63000100,,,,優,,
220,臺北市文昌社區公共托育家園,台北市士林區文林路615巷20號,士林區,63000110,,,,優,,
221,臺北市士林社區公共托育家園,台北市士林區大東路165號,士林區,63000110,,,,甲,,
222,臺北市永建社區公共托育家園,台北市文山區木柵路一段311號,文山區,63000080,,,,甲,,
223,臺北市大安社區公共托育家園,台北市大安區臥龍街129號,大安區,63000030,,,,甲,,
224,臺北市懷中社區公共托育家園,台北市大安區仁愛路三段123巷,大安區,63000030,,,,甲,,
225,臺北市辛亥社區公共托育家園,臺北市文山區辛亥路4段103號,文山區,63000080,,,,甲,,
226,臺北市文北社區公共托育家園,台北市北投區文林北路75巷61號,北投區,63000120,,,,甲,,
227,臺北市濱江社區公共托育家園,台北市中山區樂群二路266巷99號,中山區,63000040,,,,甲,,
228,臺北市亭中社區公共托育家園,台北市萬華區中華路二段606巷3號,萬華區,63000070,,,,甲,,
229,臺北市老松社區公共托育家園,臺北市萬華區桂林路64號,萬華區,63000070,,,,,優,
230,臺北市玉成社區公共托育家園,台北市南港區向陽路31號,南港區,63000090,,,,,優,
231,臺北市南海社區公共托育家園,台北市中正區延平南路207號,中正區,63000050,,,,,甲,
232,臺北市溪口社區公共托育家園,台北市文山區景福街225號,文山區,63000080,,,,,,甲
233,臺北市瑞光社區公共托育家園,台北市北投區中央北路一段73號,內湖區,63000100,,,,,,甲
